RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31
102001,0,United States,country,,1298.5705414875113,1305.603709888734,1314.8493228860038,1324.9711159906378,1335.0315501180844,1343.956301674696,1350.3730364506596,1354.3026010641122,1356.1061825831655,1356.618302085231,1357.0088612631869,1357.6077030485765,1360.9912300410326,1366.3680421972933,1373.0416689976487,1383.3268633935422,1393.2531201882853,1403.094842191288,1406.4639350616162,1407.5439472351604,1406.777374642637,1403.954343858768,1401.3511140267813,1398.7189372313887,1405.1166540452066,1414.027133856701,1426.8200871683805,1435.7385600905714,1445.3258581308176,1452.8746657795089,1457.924766453787,1459.6886609962755,1460.1825372027906,1458.837553362234,1458.7978627466853,1459.8320676442083,1464.9690218053747,1472.8132763685574,1483.0620187711859,1493.4432783331267,1502.5023853477244,1510.4600241042776,1516.2880869929204,1519.76611344874,1519.5091378676861,1518.7702575863104,1519.3690506716894,1521.7094646726362,1526.4526146752892,1533.2767111746314,1543.7945525739296,1554.2751970916256,1564.44044799899,1573.1643110837176,1579.6828714214912,1583.341137395464,1583.5958083320704,1582.5108844867702,1581.5126554557783,1582.65681879138,1588.0370917393836,1596.9007343504943,1605.2379419828185,1604.893040508047,1602.4016747961027,1601.6513792685664,1606.4190550184699,1607.9784415877193,1606.1625784254481,1604.5347706024527,1605.9564755633858,1608.4217146953088,1613.8093925325995,1622.2891074316706,1637.8009214201477,1660.0105485898093,1688.8376226183138,1721.8851925961512,1756.1881857462022,1788.6144219392008,1814.8517773056383,1832.2470231600248,1844.0406656684431,1855.0965006451697,1867.3372200376937,1884.3045221934735,1901.9100001786032,1924.073118618327,1946.8337810744213,1970.967657829098,1991.1988726891732,2004.5280324659711,2010.6727471452616,2010.6526500228933,2006.5128749119244,2003.5602321128704,2003.8305444643536,2008.7315935128663,2016.8797715266342,2027.7449338962663,2040.4146361066746,2051.922544256137,2062.3257421864037
394913,1,"New York, NY",msa,NY,2484.652612276956,2501.3531459521755,2520.0391355587276,2543.482724246881,2559.6568332217694,2578.3463555876115,2590.7704099253774,2602.2688183160017,2606.3566259037407,2602.6387366026606,2593.683804668603,2582.912533150868,2579.9231543948385,2583.3887593835298,2591.615348033032,2606.5903089870885,2623.4981449412207,2642.1299939005585,2654.233700449923,2658.8259543069007,2657.778849101965,2649.2571220590557,2640.1174163156393,2622.9683995211976,2621.3247903348697,2622.218721510873,2637.9297408595585,2650.5266744123364,2670.6079767740084,2686.9251853493824,2697.767398237933,2699.2359812486275,2697.8211232446315,2683.810831084396,2668.158076087523,2652.748580352866,2650.0392096351384,2657.2864290164935,2671.1377020186765,2692.8565241503443,2712.534892634484,2730.9516165093223,2743.6127890785297,2753.2712512209596,2753.86893510583,2744.3611255240157,2731.79028728548,2720.849545328397,2719.3703597185718,2729.2919482288967,2744.6980202237905,2763.5565666955986,2784.787467828221,2808.7857653495644,2825.448374543276,2833.075997819674,2830.1983268195854,2825.409732603012,2811.8200482759244,2803.832617806434,2803.464860354789,2818.761377702159,2829.438956396488,2821.593374116892,2801.6616908525993,2775.928589797608,2748.9456582910943,,,2594.3606527619763,2562.299407933397,2547.2638365824064,2542.5748234241482,2552.946311870116,2577.525843636301,2610.7374713451236,2659.3595472908464,2718.4744672150523,2786.009516488245,2851.668061645973,2905.205076975782,2939.876983157784,2962.0860095632424,2982.877778176234,3008.9012384388157,3048.382580117022,3090.2340431366883,3137.8106519341895,3193.985407340858,3256.869581840573,3311.0503817038,3341.686067642729,3343.5378454139477,3325.5395833378852,3290.2954122601423,3265.250277112117,3257.226700689438,3272.4171284600206,3299.020132617244,3337.4914954444057,3379.091414305207,3418.7557537925136,3444.894714572065
753899,2,"Los Angeles, CA",msa,CA,1902.2963581312413,1914.2104365236514,1929.8689543304085,1944.101726925561,1959.0704309688292,1971.730541955322,1985.7894734148158,1996.4074933232428,2005.5147053493245,2011.1832517515259,2015.92497534898,2022.6796133833307,2032.7178574989196,2046.3927617066495,2058.2433659409226,2070.0177424660965,2082.208983159678,2095.5819829575466,2105.242478529751,2112.1851620536504,2117.3942581120996,2117.8308161724995,2118.121392010746,2116.4495524234917,2134.9736220764794,2153.8000612313335,2179.9808140329405,2192.5314961433496,2206.3245713210713,2216.1802619697874,2225.369712709734,2231.58979953773,2237.0795881846216,2239.2918255457,2244.3048654240433,2248.0177897950953,2257.8586615917816,2268.128438218403,2280.4650873724645,2291.9220886342846,2302.614235939172,2314.5868124566555,2324.3975078547487,2333.3185976086133,2338.403673051506,2343.8305680738067,2350.419432893429,2355.949691686005,2361.6671634201825,2365.9339400452254,2377.881384103846,2388.4188120456342,2400.2510400882593,2409.787570002897,2418.4009183498592,2424.7787980271705,2428.6453866446054,2430.371873250249,2433.7609859506606,2437.911743038862,2447.4279985815056,2452.543720292071,2452.5708389068695,2437.5059758311695,2423.8592218208205,2414.1770912893976,2415.0949245945626,2415.0435457450494,2416.7673421512254,2420.3709549525097,2426.51577579984,2426.8396615038414,2428.783610188571,2433.3751802306324,2447.4254294139637,2463.6844321241406,2487.655855108608,2524.9955117107115,2574.5351680978556,2631.566646067344,2674.2498217985144,2705.073578167325,2721.9144046454376,2742.39307658934,2762.8470489991423,2788.893962348633,2816.3330005528114,2847.314567887685,2878.130534403575,2905.0231164430124,2928.366548413493,2946.6771564984333,2953.861626340001,2951.7973847885314,2943.2553564983073,2937.3591867878063,2932.4601369637653,2937.734955456191,2946.3448445513914,2961.6862787452815,2969.1380967844434,2980.58710187812,2993.537275471513
394463,3,"Chicago, IL",msa,IL,1466.182619954117,1474.1553166694257,1485.520610287769,1496.0294477719087,1507.2698816115953,1516.4230967494511,1521.7107805138767,1523.8794299985268,1518.3228230200248,1510.7684208690678,1504.5064221093924,1504.862312810674,1513.4699471005997,1522.3420079932625,1533.9965980200868,1541.9539256153687,1552.7185516600812,1562.868046245906,1570.4279135886643,1574.1066014265753,1566.9531180488823,1553.272176392054,1535.4045009567335,1524.6343260161143,1533.6424396175903,1551.371053640902,1573.3849488078404,1585.0827859559704,1596.6021736580076,1602.4250716107558,1604.607751695226,1599.954223750928,1593.5038480507308,1582.3788830212438,1575.0680002833285,1573.1369241222544,1581.4468632503033,1593.288912431008,1606.0676341613246,1617.5273332488866,1628.0693482228692,1637.0978076330016,1640.9039943232513,1637.740262948728,1627.143571529678,1615.8447578669948,1609.5002665090024,1610.4193952122307,1619.026419507364,1629.7890480432425,1645.7426663738763,1659.743063528909,1671.6961793301646,1679.3590621210858,1682.5149551128407,1683.2585322049467,1678.4172453562473,1670.3212829157185,1662.6743477952261,1657.5452652287022,1667.5777917692324,1679.1214244629316,1693.680152578429,1693.5711003873162,1691.7583318514728,1688.1404427560733,1686.8470693193947,1680.1792176276554,1665.1826498572514,1645.0647598487255,1629.396355562447,1620.402394452868,1617.5021886431166,1624.1460386151412,1642.3222113424933,1671.8956507632545,1701.660798543771,1727.36424388787,1746.9485091851134,1760.7653712072063,1768.2992603698765,1770.0518527870759,1770.7001003538178,1776.9953384369962,1790.6688885461806,1808.280877856397,1829.1580650027747,1852.539520691353,1877.816612417378,1898.8144058665355,1916.2726696214256,1923.348732117555,1926.5044194662364,1926.9258930961105,1923.102590884611,1924.964220423631,1930.1577923879925,1942.7039296049031,1955.9015627022095,1972.159958768007,1996.1077106964153,2017.9171143614747,2031.9868736460637
394514,4,"Dallas, TX",msa,TX,1160.44933295142,1165.4466969160012,1173.5674055761658,1184.412909641254,1195.1000645611612,1203.691891053168,1211.417615366162,1214.4572207528345,1215.5997591051553,1215.5143676569273,1217.7411194643387,1220.57279164177,1222.8968463090498,1228.1912741421304,1237.089960194038,1247.690675230057,1256.1858487215432,1263.3820662988267,1268.0416474160256,1270.8661756407678,1269.7530014505157,1268.7186347522797,1268.7581797202552,1269.2302907257879,1276.8858691383084,1284.106279787583,1297.5760055935384,1306.0368111931348,1318.456447744508,1325.0569231518452,1330.1883524316197,1331.3751159814267,1330.8142267529104,1329.1552056252124,1330.3964087447494,1331.6403948632897,1336.6035005359333,1343.515413555105,1350.8928800593014,1358.0483097625965,1363.119079016215,1371.7837027829166,1376.1935930468621,1378.5854406505782,1376.2025574525658,1378.720962737909,1379.1175569608963,1381.0905654920186,1382.7767223872652,1388.0047886313077,1399.1368463694207,1408.830773957121,1417.6202755586544,1424.6685509847473,1428.8979387905677,1431.7931495098142,1432.0166018732698,1432.4776088183087,1429.7981068914,1426.496547952786,1427.6586159013652,1434.618366845539,1442.2051495001454,1443.0896836007048,1440.7287569592947,1441.082296932081,1444.868603130697,1450.135543385746,1453.8825612880464,1459.2386025746666,1463.8720480041864,1468.1374974283817,1469.0350275360909,1473.2491796584407,1482.3605826016937,1504.4123265034073,1534.5212951246067,1571.2143834609378,1608.0925425011403,1642.254167788865,1668.4244338738977,1684.9169955830812,1697.7576492127034,1708.6624180272104,1721.3343519972088,1734.3099655500685,1747.6032322991969,1768.8377717291874,1794.373884668835,1826.7453975637402,1849.5974677897948,1859.273784460116,1856.9571297864247,1847.9938520811206,1838.3927875679092,1828.8925120297258,1824.9420213393512,1826.7505882774271,1832.3874452825958,1836.3639498377336,1843.5898739953527,1853.3456231392656,1863.2893115817933
394692,5,"Houston, TX",msa,TX,1273.4750257978035,1277.825758536783,1284.4921714473992,1296.5991273426746,1307.0625222131632,1316.74497827002,1319.075562346896,1319.0118074546763,1314.0364136049564,1309.3270582557009,1305.9636935293527,1304.798447729393,1305.919180343647,1307.2098328028255,1312.699502572404,1317.5575781812026,1321.385684669033,1320.777864571706,1318.0722144287138,1313.101623075792,1306.3983868380924,1296.118589591999,1286.1718765632872,1279.0069321354893,1287.7758212691601,1301.424378865183,1316.6274253437036,1320.8658419037554,1328.7996989704081,1330.405215020663,1331.548309306853,1326.6483580412641,1334.2745319569888,1342.658127428218,1353.6192028576754,1359.7946000393304,1362.2348814507277,1367.748276475196,1368.3940009684397,1375.991107806193,1378.1150054546806,1384.1217240148076,1384.2418264035462,1383.5630282343984,1379.3091284510156,1377.8018510470424,1379.9733644061978,1379.8301379569534,1381.3703347640471,1380.2529361023228,1386.8324857765201,1392.170373317679,1401.1872200978803,1407.6198722077488,1411.310826918526,1410.0755233655157,1406.7486462159038,1406.0664861859725,1406.7766270694292,1410.3431578858317,1413.7855014947081,1420.396295302206,1425.6656339106723,1421.3067374709847,1413.066032253454,1406.7928081733553,1410.864133273169,1415.8750976784365,1417.4853845106481,1420.0535046050427,1424.0856480254492,1425.4047107456902,1424.6266836860257,1419.852314448596,1425.4839097429742,1438.3769556222462,1462.4469566312348,1490.8073685133372,1518.3147318950387,1542.3374316777522,1556.7916011506602,1565.3132056660784,1570.7252174608916,1576.2637907441367,1584.2405174892108,1594.0434568349897,1604.5039150938344,1615.8268054674752,1627.4042384711754,1642.0317378814411,1654.2255196361132,1661.1299184244106,1658.519024545148,1654.2336921568262,1651.5967175748729,1650.926477079454,1658.4825147756058,1665.8616644559966,1675.3477144811422,1679.548175764782,1688.9483211100344,1699.277347947692,1705.9250196423109
395209,6,"Washington, DC",msa,VA,1800.288840872655,1807.2422857185447,1819.587473697459,1827.0799101892271,1837.2670577259425,1844.389070906055,1847.9273899924142,1844.7098964476102,1843.5692224161328,1839.8592742980293,1839.9376177678537,1834.9999592681531,1836.9917291986826,1840.472006590545,1848.3507696849483,1857.9159467664167,1868.9689566656552,1878.1284709494873,1881.7570855685324,1881.2759525696072,1877.2331956405326,1866.6260879611832,1857.788061415991,1851.1286976566703,1859.5181687794275,1874.2973386993651,1890.8591249544395,1902.833987263948,1908.9661940966541,1916.4524342540078,1919.196001679663,1918.5882197942772,1915.3877300170188,1909.999664633478,1904.4859473121498,1900.9073634859446,1905.5306939985626,1911.9187084891187,1924.9527600909023,1936.5939255876322,1948.5186041495342,1956.898781452811,1962.3251217352515,1965.6240789755357,1960.8141702274324,1956.5919981330499,1957.1926002076698,1961.5259725871194,1967.5529840089719,1974.0616266267816,1983.9619018013118,1994.6358634941798,2005.587645626486,2015.2920281362547,2021.4639572394221,2023.9771562745234,2024.3596181294815,2019.1010497305529,2012.5888338417324,2011.5982819327992,2020.2091305684949,2029.682216777256,2039.9400269547023,2037.6242598430745,2033.341041360479,2025.713859359275,2023.2330453603918,2019.1508867169,2007.586806265112,1992.1997584652374,1973.4936941835385,1957.6151852914802,1952.771743777906,1957.5274916131464,1969.1444443277455,1987.8555017556848,2017.5983514372867,2057.055892614102,2096.5876772204424,2129.803344008843,2151.01260209247,2162.735144298575,2164.7343420954035,2167.053960256349,2168.9473230824906,2179.6524893011106,2197.0425210970534,2221.662029376612,2248.9764170993167,2275.937448595374,2301.3499160055594,2312.961524280218,2314.9935473980086,2303.0836067403357,2288.520146250541,2275.7288170318366,2272.102322539793,2281.592206743051,2294.5671972471873,2312.2014531875793,2331.2513131269275,2353.1813886445216,2372.3486407609653
394974,7,"Philadelphia, PA",msa,PA,1305.1317746353704,1311.547880407991,1324.6697850186479,1332.732682904203,1340.137980757578,1342.3694132736487,1344.1285664451998,1344.1291838113093,1343.3060200603604,1341.9449143554857,1338.0795031958014,1332.7967281532985,1333.2220603096846,1343.0627548931086,1355.270431040426,1366.8208305325904,1373.6232351276603,1380.6020748444291,1381.4569306575593,1380.654125328477,1376.4305125821381,1370.5039164770112,1372.6956317981867,1371.4566543214464,1379.5836892385423,1383.1767146623633,1396.2434525207295,1403.2628150963315,1409.3654206605788,1410.313685878877,1411.5071351635797,1412.5793836591938,1413.1467592011406,1411.9725828061664,1409.8517842303115,1411.5895800820713,1415.471891550365,1423.7912142462958,1433.887536185773,1443.1074304223068,1451.3806714625903,1455.7448566205894,1457.658004631931,1457.1197747608576,1455.59744661563,1457.01965686946,1459.5045686106528,1459.064534138356,1462.6842121912803,1470.1487302673893,1484.3470470357668,1495.0661075379749,1501.357217285278,1508.217710815306,1512.6465138755416,1513.4123586639207,1510.3197544764262,1509.3452302654105,1510.4928291529661,1513.668658664579,1516.8586450653465,1526.7444330912776,1536.372975132182,1538.9153111264075,1537.1207472732667,1537.2583048692998,1542.6354337970772,1542.389486767838,1541.9074097389312,1543.1684066366968,1548.477680406674,1551.150901595098,1550.8404015586143,1553.6181333146892,1561.6683302110252,1579.721993846709,1601.1297685326235,1622.812497668095,1642.3973412966648,1662.0632019663997,1678.1821246052918,1689.5937359925579,1697.2948096615544,1709.0074787298056,1720.4723883891415,1732.2629549089138,1741.3368815066663,1754.6084810698094,1769.2726599385205,1785.5873093026187,1799.2269062218954,1806.9216981606617,1812.0045204762819,1809.194440035315,1808.7200367346084,1804.212201200892,1806.8739916048087,1806.7432720456898,1812.4255130439994,1818.446910370013,1830.4020787017885,1837.9973466403203,1849.065502237625
394856,8,"Miami, FL",msa,FL,1567.9101059705665,1575.24067080828,1581.0693331506181,1588.1827598094715,1597.8005446320958,1607.4898931725515,1617.1492272632843,1624.8432471026356,1636.9838333621403,1646.1306340829728,1655.6054946234976,1658.3801325423171,1662.3471942628732,1663.373174067034,1665.645173264432,1667.6262079300056,1669.180488402459,1670.33183021792,1671.458091597272,1674.7719966168559,1680.4240399010027,1682.8674939195241,1686.98902116093,1683.4779857853296,1687.7983180691879,1689.4828279430744,1698.3340303524283,1699.9082721101277,1702.4810696185511,1706.2887532094562,1713.3156009145875,1720.650134249188,1727.875074528325,1734.326579785801,1736.4887301164997,1737.452883373771,1739.003676392476,1742.900259003602,1747.259234922185,1751.357290906026,1755.4595552385572,1760.815757672894,1767.9861952275487,1775.2007353078475,1780.9475794268321,1786.4585173175337,1792.5233594729,1799.2857965931016,1800.3796588953992,1801.497575424114,1801.2750240608623,1804.9990774858338,1807.3830112339986,1812.1087345244518,1817.1773239875363,1823.513476300936,1829.9127316769298,1840.2307130266404,1850.5654158519235,1859.775351363096,1862.5580630101103,1866.7217579456349,1866.8488425983342,1859.4786277311216,1848.119399888559,1845.2055652074137,1849.8169692865927,1856.3204680717079,1862.4360380872872,1877.6639279458338,1898.7968430163767,1916.9919631902917,1934.628834321455,1957.3359202008041,1985.317036939524,2018.1413431151843,2062.5513907862855,,,2264.9167295490793,2327.2370055634224,2380.368859785491,2429.820787411061,2482.8681386205626,2532.45185343924,2571.5580230779456,2615.1626834637145,2654.185465393801,2694.484774483945,2716.7162803213714,2736.32728870273,2745.968026365031,2759.9363700197414,2771.123379190001,2785.1038288646614,2787.354596593538,2784.2506448036293,2782.147833760811,2787.3443084669207,2796.6291083249344,2805.074786474997,2811.2611249339375,2817.305881248394
394347,9,"Atlanta, GA",msa,GA,1087.7893191472667,1093.6306048127024,1096.896769412574,1108.213107409365,1116.3420656660264,1128.0080710256907,1135.135064285612,1139.3385992798994,1141.4179558679898,1140.3932445163418,1141.1411224707315,1143.9111156330287,1149.0296286326638,1156.688264911282,1165.1828112855053,1174.506865304169,1184.0455068655626,1192.2291717010282,1199.8907765056822,1204.0503985187122,1205.7600151355755,1204.5517837868906,1204.0501468568036,1205.984890121405,1211.718128703896,1221.6068973558063,1233.2846439322514,1245.145696134707,1257.1383617272559,1267.7757399161865,1277.0865950524094,1281.1866597841763,1283.1318359060688,1281.4904308363446,1282.460485084004,1284.3626606474434,1291.1513665836057,1299.280257276386,1310.850373895202,1323.2387284757754,1335.9600566142751,1345.4519104164979,1350.762507393509,1353.0630048851892,1354.498123599565,1360.6258953690885,1366.4806133884526,1371.2329027564551,1377.0468360109553,1385.5961833943777,1398.444656781573,1409.5508513104724,1419.2094611302664,1428.0450366663272,1433.5017849134783,1438.4680909988,1442.5481290989528,1442.3715533467712,1440.9815941939764,1440.4385265638155,1445.9286910567985,1455.3952737762297,1462.830018459154,1465.0810907317186,1466.5122833844287,1473.0049308399018,1487.6675860923842,1502.7255240241323,1514.4112992985056,1523.5697297966337,1531.420706873336,1539.0389242278106,1549.7214274384967,1565.9990580651765,1585.6086673302682,1610.5501129077434,1641.8317372684548,1685.1616870993157,1731.0477813562727,1778.5682049063942,1811.2757480939797,1835.131501484114,1842.8975024814986,1847.9196982808112,1852.5505703046526,1860.8819512918046,1875.7675929794505,1889.9139033346164,1910.3967657097394,1932.5350183156716,1958.6921134735526,1974.42062503299,1980.9143101839893,1976.2794971850947,1968.8478690003515,1968.8870654021762,1966.148669861514,1969.5449359197228,1970.047602804911,1979.0297505939495,1984.133039890521,1985.1094809277424,1985.740719032707
