RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31
6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2730.3058308973364,2746.7214874760693,2766.7461251593495,2794.730174880481,2817.049939379678,2841.012520471839,2854.8374979464156,2867.5187015001757,2873.770513246272,2870.6869843817176,2856.9499995352026,2839.3916671960064,2830.9598413730605,2833.524822643146,2843.579380318355,2859.4917245830698,2876.6869152326653,2895.916599573066,2910.4390467956046,2916.776896690609,2915.1320309011267,2904.078899365201,2888.656704307635,2863.772678755853,2858.704409250653,2857.8402308653845,2875.6178032916787,2888.9361556391664,2913.028883498704,2933.8148379188756,2946.6234581188055,2950.2329139750796,2942.239462975685,2921.6339523087986,2895.543774716373,2874.8555831329995,2871.8672312895574,2880.7260739179774,2899.446165595068,2923.683239499996,2948.5747913285486,2970.918892543256,2986.7829034362408,2997.4096651166274,2998.978671761939,2986.5285820354165,2967.2033130884115,2950.373251218172,2945.0102248164235,2955.3355813127464,2973.485753278984,2999.1465647835494,3026.76924793375,3054.9293205990493,3075.7078160901606,3088.6493213025606,3089.85392879199,3084.719265407398,3064.888639767449,3052.8840633408167,3050.1317697701847,3071.0707497211115,3085.1813539561795,3073.628256453271,3041.986918856507,3000.1584333231417,2957.977343694292,2889.4744156023453,,2741.5598292740174,2692.1766360537545,2664.236156857477,2652.5446489469377,2665.7385967204173,2696.450227312248,2741.9915882842415,2803.0662009533594,2879.6792338525147,2967.2922980422672,3048.511264739989,3115.635384934007,3152.5920138864003,3181.111234106802,3199.3519813781263,3229.981798542777,3271.0635567192226,3319.178758080261,3372.7789074170046,3436.2542683132788,3506.7699872552657,3564.835706300191,3599.265931415312,3602.309975178128,3582.337286834162,3535.892372196692,3501.285628941923,3490.540750508687,3504.5131521784065,3528.5790554322807,3565.2698202275674,3611.8441445693197,3660.024597947633,3693.215523675295
12447,1,Los Angeles,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1929.275050396621,1945.1446221184694,1963.326736981198,1975.3741504847576,1998.553076838501,2010.5320147085224,2027.7119888170039,2036.6756336711062,2052.8481674719214,2062.72575442022,2068.3018338344477,2072.5988593069883,2086.3949742722843,2108.154433424023,2125.3562023805407,2133.135897668039,2145.4796060040762,2162.989633504052,2174.77416511522,2175.740173197309,2173.3610811317076,2176.851335050099,2176.5178782298253,2177.8744921628113,2199.901434011375,2220.732635222635,2252.9706895333347,2259.3338260475407,2275.3670234257165,2283.011310712547,2296.657866012874,2306.633322230712,2310.2286379953134,2316.3346530903414,2319.8731904267115,2325.662116548573,2332.152645210018,2346.8535801672297,2357.1052731086293,2369.4980142796817,2378.281015746482,2395.106371731838,2409.1344701378307,2423.5133046073774,2431.5672142121466,2434.638958970574,2435.374515939264,2439.483613608431,2446.065240569074,2449.144215887177,2460.474967470596,2471.0647155430743,2484.971520786901,2497.7870029619125,2509.5563733934914,2517.270828326867,2519.466076803927,2518.0246070665894,2517.567157407812,2520.2195845887722,2524.790362572954,2530.313620090615,2526.5840170619153,2512.3368001862596,2495.0994104047095,2482.7145788103926,2476.778440053969,2469.6445216661555,2459.002025521727,2452.104202360495,2448.4776011793856,2444.2543099943646,2440.586248012625,2437.3739729467575,2446.2133158227853,2458.31341994495,2481.47918830463,2512.672143350922,2557.212519281063,2608.970430745272,2648.7834920984037,2675.7029385745004,2692.978318251213,2713.141214413699,2736.457125673128,2757.1047152730625,2778.1306771405652,2801.3862075597485,2832.170003816378,2858.175979033538,2884.154686351068,2902.7673264886785,2916.1358297084803,2912.0126402513056,2904.6123419640635,2897.916235373218,2892.154544352928,2895.115927582582,2901.498034287913,2916.98499621747,2919.3619078980796,2922.86335749076,2925.013006927238
39051,2,Houston,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,1244.4407907610375,1249.289580716685,1255.4330042924228,1266.7522290059871,1277.5985249119124,1288.1832019547824,1288.9998626825968,1289.0494923551084,1282.0447484764866,1278.2382891344537,1276.206969689385,1277.0051161303086,1277.7033914114543,1276.5959318478929,1282.5330873464059,1288.4199420253237,1293.3204115410103,1292.8453021735174,1290.0462268871331,1285.644245114847,1278.691620371593,1267.9574532810043,1256.591613786062,1248.247861833775,1257.3306809220417,1271.9883858490357,1287.6227323975245,1290.8783983803842,1298.3936654078157,1298.5619321389383,1298.8262243460586,1292.6268303248955,1299.9756832701385,1309.7740609361479,1323.5878205061654,1334.776359163676,1336.3958751292678,1342.4837836272834,1339.3710767911884,1347.9509199958015,1348.7741585871624,1354.9004909454575,1354.1772132433837,1352.3347279865422,1348.2259772364087,1346.6638870022193,1349.8504516328926,1349.1930524362342,1350.1191077401872,1345.981553622376,1351.565839415925,1356.5250756125145,1366.5223965550979,1373.8252452468826,1377.410986734958,1377.4576663774255,1373.2973505946522,1372.205460620765,1370.781197846724,1374.7153430547949,1377.3684128756988,1384.5416975222267,1390.0281311019594,1384.7713675026907,1375.1276463858676,1364.7354448866588,1366.9002810271732,1368.9364396232886,1368.6249161919943,1369.2470293669035,1372.2079875883035,1369.963253660877,1368.039517124721,1361.6026414565802,1367.7878479931605,1379.6811099783915,1402.470064467147,1430.7935179953308,1457.5590324559516,1480.5624432424843,1494.076987058882,1500.8803298378705,1504.9358346089275,1506.8945159613297,1515.3183294376609,1524.7999348284347,1536.1297197281322,1544.3736125897976,1554.592297775301,1567.0958101572558,1577.385952614402,1582.420589436192,1580.1346695307748,1574.321964615248,1573.1511688802523,1573.3636637025425,1583.0991184032782,1591.151525733723,1599.2053227038953,1602.408907134975,1609.595283831203,1619.2490606673791,1626.2554192145356
17426,3,Chicago,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1554.6379148751591,1565.5011454973387,1577.470348275483,1589.816624805783,1604.1479674851248,1616.190299997665,1623.1388951821534,1625.8423731881471,1618.530640322283,1608.358223321854,1598.1295165034574,1597.3094599984408,1609.6834562801262,1622.2443178512187,1636.7827871780714,1644.4588989307977,1655.595844798256,1668.3714980669658,1677.96408561542,1682.340499332567,1672.7523638037392,1653.7972294839965,1630.2380303243508,1616.9834099190512,1628.3192772136156,1651.726384889816,1677.5428427370914,1690.247437345636,1702.3139414060172,1708.6028545868955,1710.9622979074418,1704.297653885182,1693.9942628480349,1679.3085761307884,1668.192154528333,1666.4514627233414,1675.7719857857817,1691.1573259111362,1704.4289233602603,1717.4954207944309,1729.4185963621305,1740.5790243246531,1744.6119144823372,1739.5010140220822,1724.2347592446008,1708.7460899194316,1699.072225070589,1700.4970137172515,1711.7970644425827,1725.9449643961532,1744.6908453846336,1760.1488737828897,1773.220508559492,1781.9821246603685,1786.6330662023254,1789.4890233324268,1782.4000680176218,1771.285753203034,1759.3896301269474,1754.073903126987,1765.0498886776095,1779.5696861963213,1795.4193549000136,1794.6911470816826,1791.3779875004443,1786.1468702544494,1782.3704607864245,1769.2800262450364,1744.5532824190032,1711.3350314968081,1683.250799272323,1668.3999914292845,1664.3889523027074,1675.680232217681,1700.1859409289968,1736.870171219418,1771.982249633522,1800.293623104575,1818.740526128489,1830.3714729859964,1832.113087173539,1831.506825768422,1827.1168915895923,1833.619365332761,1849.6122581500085,1872.4070983371803,1898.4694602694324,1923.520364760864,1950.8157240089,1971.7262366821528,1988.9696429670919,1993.3460258109515,1992.8620478757466,1990.0406323703205,1984.1079000684933,1984.1929272050706,1992.0730395540202,2007.204150873723,2024.213277394936,2041.7590111080308,2069.1214416714765,2093.423257491924,2106.287234315209
6915,4,San Antonio,city,TX,TX,"San Antonio-New Braunfels, TX",Bexar County,1043.21670848254,1047.9524294449886,1055.5366522111758,1064.470849745317,1073.7470189850237,1081.3556493414142,1082.4421663489472,1080.8598957718552,1080.820958378262,1086.2566322839016,1088.6217164842847,1089.1893666664619,1089.30098768418,1092.609453563528,1100.2126358232385,1107.8833792403886,1115.769440746969,1118.5875577956153,1121.4643199471648,1123.2004204810146,1123.2559272732597,1119.0311883981788,1116.9673970950066,1117.7519024627845,1126.6202413376868,1133.2286803572479,1141.1583483631237,1145.3688935729954,1150.9021515224738,1159.3049656392923,1163.218336299314,1163.1592880002145,1158.600856376699,1154.790484711856,1151.6921562378345,1152.267898703397,1152.740646698248,1156.6166907143029,1162.4721505482858,1169.3432311954246,1176.6859888878828,1182.7970548976796,1191.262566744267,1197.6262518422154,1197.7786388691015,1196.807427805588,1194.5565823057752,1193.2470937919534,1194.3651764485298,1198.8402526175394,1207.1577501213114,1213.145483335988,1219.4868530299657,1224.6243220563085,1232.4590121446972,1241.6801812327835,1246.292085013428,1245.4162085070207,1235.8624586571127,1233.3131353934673,1232.6154312371632,1238.861588264344,1241.7252150434806,1241.5666034391468,1238.613331141712,1238.4955309395536,1245.6238742676635,1253.1555204733593,1258.238280550547,1259.3174848401636,1260.6166404120172,1262.8401744662672,1262.533076089579,1264.358070927041,1270.0258528976,1286.3547520612947,1305.769533763341,1328.9046674899498,1356.2118574402282,1385.5011595749127,1410.7385025136944,1422.2841033285176,1426.807950934406,1432.115608739398,1438.0105173431205,1447.1871958195138,1457.4222064575938,1472.334938840892,1489.8175997701849,1502.2312805100046,1516.6999415944144,1520.066914888743,1521.0996452907623,1512.6162154716005,1510.0556005957744,1508.584968366289,1514.527939390094,1513.6323258385548,1519.560073233097,1520.361558070051,1524.9648270865632,1522.916464087775,1523.73268391458
13271,5,Philadelphia,city,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,1276.3078112803653,1285.674893589469,1306.377316443426,1315.4137585861342,1325.8619498322553,1327.7542484338544,1330.8591706461466,1326.6788727562712,1321.9525064085722,1320.2165304482587,1316.2280535438426,1312.8691713780213,1310.6430413512091,1325.5201595601911,1340.8945918192474,1355.9120618511795,1362.1794687150882,1367.2107720445924,1366.4779776992548,1365.6426030874597,1359.6890484761743,1352.2823214334776,1354.01640130026,1353.8251601895824,1363.985745276582,1368.9431467178897,1385.000076819373,1393.3315457013014,1398.4630316247074,1398.71653059886,1399.7091111082912,1400.123491633972,1399.8652149518898,1396.939246736126,1395.0310954008671,1395.5580754816244,1400.3082181636082,1410.130087843118,1423.3658180439336,1433.2243762449918,1441.0916028862623,1443.3671008318115,1442.8582089959687,1442.5832890039505,1441.1138966655762,1445.2619167900507,1449.0090316139554,1447.2289598488314,1450.7430668417655,1457.2327286876866,1474.393358801213,1483.2279897522963,1488.7990404700947,1494.3989558686387,1499.9909823025607,1501.4033037517295,1498.085820379054,1497.2380074184339,1496.9564273410417,1499.9850797005554,1503.3412011709936,1511.029404493426,1519.042792537742,1520.6673844599095,1519.37021355978,1518.983168780577,1521.6201968430005,1518.420399096231,1512.4701782999487,1507.5993597776323,1507.2549967524667,1506.1383348856907,1506.0921899761402,1509.7294576647341,1519.8024882160723,1536.5285505071706,1555.875197187137,1571.8382162986725,1585.3034155772175,1597.8925600845,1609.16785372075,1617.2067885424094,1624.1055117428853,1635.0228159540993,1646.684236150026,1655.097471076948,1663.6766719164164,1676.1687693390434,1692.404197827473,1706.6938382199262,1712.927885557145,1715.124308024912,1717.7012248644958,1714.1346088539822,1714.6675004270176,1707.053576341931,1712.5850043836656,1714.5172787345066,1723.3087621752863,1729.8786093085123,1738.7722072337756,1743.0164555489755,1747.2061667405862
40326,6,Phoenix,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,914.7413231893547,926.4892939041888,933.6029995554308,946.0630928933758,950.1970301077573,958.2526822100107,956.8098209487221,959.677793090819,963.8663113838113,966.4583237863898,970.4681355132146,970.1460591457262,977.6823660086701,982.2435787123701,991.7773028086559,1001.9616265649696,1013.4973920580808,1021.1807249272973,1020.5495172165886,1019.1586043631213,1020.4558743020211,1022.2330597878498,1024.2381679600192,1024.1633261881425,1029.2790783185417,1037.725019691758,1050.0964489144349,1063.2378337332357,1076.0723077817456,1084.3509429906715,1087.5486787200607,1088.700479645631,1089.3046488768766,1094.9915602089409,1095.6387361705297,1096.8521966894912,1097.0355259882774,1104.6505069150007,1117.8601741551308,1131.1428425571885,1143.8058757160136,1152.4198089625859,1160.939464932956,1166.8018129296593,1174.9617732448778,1181.453444787243,1187.3101994925053,1191.754968382674,1193.925465408539,1203.177852105276,1213.7921350120785,1228.8705114400016,1240.4195006168427,1252.094899999124,1261.7231516904249,1268.326732572054,1273.750445871447,1276.7385450195359,1283.0940011766145,1290.0940560959991,1298.5506191510142,1306.1048402165943,1312.171457921059,1315.9859240767005,1316.4744046007536,1319.3026356826106,1328.1905872100324,1349.1082938570376,1363.3762287111056,1375.511700654855,1380.0582562315692,1389.9876545880688,1399.9149684246743,1411.7582404854006,1432.8777401973157,1467.277810408378,1512.1952810621344,1560.1359760888624,1609.4836225804665,1654.2956498341248,1689.4812977841693,1710.3913141746243,1725.13433264304,1735.0854087839684,1746.4362512587122,1754.9842649211778,1769.0976196312938,1782.6821035053085,1796.3106355218051,1806.0810091281903,1813.160587077137,1811.9877449583473,1808.3736018718714,1804.1550945813817,1798.8248467199307,1794.3285555243624,1785.0090841242516,1785.6654083882959,1792.2910213410726,1804.1202362292506,1812.662210189939,1813.4654756877069,1814.114528490183
18959,7,Las Vegas,city,NV,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,1012.2491039042911,1016.3153977212611,1021.3783078763206,1029.7081566921859,1037.2719003861937,1043.9060197874808,1048.6816164797128,1051.9852269134276,1055.2871489235004,1053.9470909514023,1054.16176310114,1053.6071792830662,1057.2168823161994,1061.304745820927,1066.0714214944107,1072.6705945660124,1081.0427586327953,1093.2974326113772,1099.4611445558598,1101.8824416032128,1101.0476418919548,1101.3058486502155,1101.588148091569,1100.4924862642285,1106.5135658902288,1114.3090189351394,1125.0356925456153,1131.818280504968,1138.7459600003506,1146.64578482178,1154.5937689087525,1161.321220937898,1164.5177268407583,1165.358739511917,1167.3387145689392,1171.3081661865854,1175.4304481447214,1183.5617870612684,1193.3245638966512,1208.5541312062826,1220.3176691316291,1228.849129812844,1236.4852605098415,1242.7777762957335,1249.5905565891403,1251.5261691905814,1253.62986849554,1254.829807546226,1259.7925839346376,1264.6727806081456,1277.0952183949373,1287.82234744281,1299.9290640039333,1307.9216756643723,1315.443245800084,1321.654543884188,1322.9605047511818,1323.4005566006065,1322.934549925482,1321.1799715441657,1321.4378897075753,1327.8936693911264,1336.7350190828522,1332.354506075964,1326.4603853159006,1325.89579833506,1343.1320329298785,1360.6056497491415,1378.5455053211851,1392.3041909846534,1401.4603966085915,1407.1787347255313,1415.8331164155338,1428.7151935027216,1447.4130429146878,1473.811990434702,1517.6629717669844,1572.722708413257,1627.3333872927765,1680.0410016693522,1716.1079036606914,1740.2370758552588,1742.850251947053,1744.2873511728053,1749.4895617473699,1759.5664370543334,1770.6070434233816,1781.7843571829067,1796.451470859811,1811.9646433429943,1826.1276441825191,1819.503593445507,1804.3114420439836,1774.7692476102,1758.5569237097602,1744.0988300755753,1744.3739596614962,1745.4840331167434,1754.4732397665648,1761.1899242765528,1772.2233130476732,1778.8579939886538,1785.2127210901745
54296,8,San Diego,city,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1830.0867342009471,1841.4091689889135,1854.0582833401888,1856.2015286802555,1870.6465657238166,1879.996446412004,1900.466987757737,1914.9492642862729,1923.7203569194573,1929.7915100658902,1929.4331569863975,1935.1375688743642,1941.338668349337,1949.7175544891688,1961.9484696293573,1968.8073173961968,1982.5525388758313,2000.5989398203194,2016.8851411620176,2022.3700845744345,2019.6891576803928,2025.2681943521932,2026.6377322538053,2028.2247166940576,2033.6229967268216,2053.0765771895376,2073.8833158740804,2091.6752079065473,2106.539348798129,2122.2166299339106,2139.730350941982,2148.96751179816,2152.4049216184403,2147.44765308906,2148.988388252361,2150.505638270356,2162.0449287530273,2175.69979370272,2191.7196227150384,2204.516696946304,2220.534077406841,2232.0787965511845,2246.5881091766464,2256.92240865687,2265.7057436785108,2266.3838116242396,2256.469767581944,2262.9125039584155,2265.0346589323794,2275.273475038089,2277.803144851569,2289.758001035597,2302.3392151098683,2316.0897739769493,2329.324712408241,2344.5867541332436,2346.582247542218,2347.234580952924,2342.0415724642,2351.4031315329757,2354.899246555114,2362.6046799611768,2362.6549229905245,2351.427252770095,2340.3295169035214,2331.7969378470457,2342.56313350894,2350.6013161298497,2362.7268580514497,2377.1427298318104,2394.484202557583,2402.9221363252987,2412.6433240057067,2421.126418202406,2445.5393059425314,2480.4238656106304,2522.261440334377,2570.631332335244,2625.923774375234,2689.448216780724,2753.909817754055,2793.7225823543595,2820.9699419679077,2834.072943538988,2846.058315197955,2876.4483888548857,2915.4037555339955,2972.027803900476,3018.1754653383055,3065.4798739742746,3105.6782848394037,3141.617105289213,3152.3790136854723,3142.475927661653,3119.76047080164,3100.194032699252,3096.6600239454133,3100.545447438068,3122.8463005053304,3151.0883570722485,3191.826468397893,3227.3753139287774,3251.368511204049
38128,9,Dallas,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,1117.1835789392176,1119.0402987351888,1129.311837898238,1139.3709288425434,1156.909511202032,1166.6409077438461,1177.2078616527494,1177.645223861509,1180.3004947550717,1185.6772829099052,1195.08974791822,1198.489035465475,1198.2980740995504,1200.5647173157363,1207.284660483088,1218.0949384123717,1224.7558671685135,1236.3696949095536,1243.6993282692465,1246.4046850899315,1244.2986842995892,1240.6479048941624,1240.9260480266908,1242.1741859773313,1253.9806445928111,1263.1436697043277,1282.3717458675674,1291.3791644965013,1304.6534505726731,1306.842257134065,1310.2848198700258,1308.5695761098816,1309.291308177515,1304.6136564318792,1312.8795950543529,1314.6686944637388,1322.488080146448,1330.58460479685,1335.258721672249,1338.7013620612147,1339.049806271287,1352.0675048812066,1357.9022915750782,1361.3359479284543,1353.3591464676817,1356.733224119924,1353.8505807682284,1357.469302889622,1361.6963905547182,1368.8459208831061,1379.5233659548535,1385.262109131322,1393.7609222447693,1406.202390571283,1412.3283071689914,1416.8264460954267,1415.5987433150067,1413.4259101272594,1405.6814571328173,1397.0359000819572,1399.9558265351925,1407.012769800298,1415.1306469686713,1414.4137635515206,1410.610087229628,1406.9671775628585,1406.4799435520636,1408.3412284357971,1412.132947586174,1415.1590637428362,1419.6643018058862,1419.221790572007,1414.504773599867,1414.1271100977017,1421.7120932202295,1446.2402106659379,1476.5316227681174,1511.5516920908024,1545.015739130021,1574.0415379410326,1599.8376316608214,1612.3293308548468,1621.8142748617745,1630.337021929374,1645.762326847105,1665.1008844347432,1672.854429394121,1695.4722417892494,1720.0779662844602,1764.3368576335592,1788.1248455072478,1798.4918689626434,1794.79187897195,1779.9309564553866,1768.20435298352,1752.3338839900164,1748.091211172883,1746.4182933995075,1749.9765386411711,1757.93807767608,1768.7975671227211,1780.6573347889216,1786.8744397145053
